Year,Week_Number,mean_return,volatility
2016,24,-0.051000000000000004,0.6048826332438385
2016,25,0.28300000000000003,0.2952786819260747
2016,26,0.236,0.8055032588388454
2016,27,0.35300000000000004,0.5529870402339161
2016,28,-0.04320000000000003,0.6043303732231237
2016,29,-0.0324,0.26116623058887223
2016,30,-0.1582,0.3166183822837834
2016,31,0.2178,0.7876847084969976
2016,32,0.17360000000000003,0.6827820296404995
2016,33,-0.2852,1.4232626953588012
2016,34,-0.4598,0.7211537284102468
2016,35,0.3802,0.9411637477081234
2016,36,-0.7615000000000001,1.2208329124003825
2016,37,0.7258000000000001,1.1429373123666933
2016,38,-0.1394,0.5417105315572146
2016,39,-0.05480000000000005,1.4653449082042085
2016,40,-0.9624,1.3054195877188302
2016,41,-0.06980000000000003,0.9003425459234946
